city,city_ascii,state_id,state_name,county_name,county_fips,zip,lat,lng,population,source,id
Susquehanna,Susquehanna,PA,Pennsylvania,Susquehanna,42115,18847,41.9438058,-75.6039813,1643,polygon,1840003328
Thompson,Thompson,PA,Pennsylvania,Susquehanna,42115,18465,41.8636936,-75.5143485,299,polygon,1840003329
Union Dale,Union Dale,PA,Pennsylvania,Susquehanna,42115,18470,41.7167495,-75.4921284,267,polygon,1840003330
Bear Lake,Bear Lake,PA,Pennsylvania,Warren,42123,16402,41.9933887,-79.5028284,164,polygon,1840003331
Clarendon,Clarendon,PA,Pennsylvania,Warren,42123,16313,41.7800604,-79.0930974,450,polygon,1840003332
Sugar Grove,Sugar Grove,PA,Pennsylvania,Warren,42123,16350,41.9825569,-79.3386615,614,polygon,1840003333
Warren,Warren,PA,Pennsylvania,Warren,42123,16365 16366 16367,41.8439486,-79.1450445,9710,polygon,1840003334
Youngsville,Youngsville,PA,Pennsylvania,Warren,42123,16371,41.8522809,-79.3186597,1729,polygon,1840003335
Tidioute,Tidioute,PA,Pennsylvania,Warren,42123,16351,41.6850604,-79.4031034,688,polygon,1840003336
Conneaut,Conneaut,OH,Ohio,Ashtabula,39007,44030,41.9475551,-80.5542409,12841,polygon,1840003337
North Kingsville,North Kingsville,OH,Ohio,Ashtabula,39007,44030 44004 44068,41.905887,-80.6903597,2923,polygon,1840003338
Roaming Shores,Roaming Shores,OH,Ohio,Ashtabula,39007,44085 44084,41.6431107,-80.8234198,1508,polygon,1840003339
Downey,Downey,IA,Iowa,Cedar,19031,52358,41.6161319,-91.3484952,,point,1840003340
Hamlin,Hamlin,IA,Iowa,Audubon,19009,50117,41.6669313,-94.905819,,point,1840003341
Ross,Ross,IA,Iowa,Audubon,19009,50025,41.7741529,-94.9188756,,point,1840003342
Newburg,Newburg,IA,Iowa,Jasper,19099,50112,41.8186031,-92.7743598,,point,1840003343
Warwick,Warwick,RI,Rhode Island,Kent,44003,02818 02886 02889 02888 02887,41.700101,-71.4161671,82672,polygon,1840003344
Columbus,Columbus,NE,Nebraska,Platte,31141,68601 68602,41.4297341,-97.3683753,22111,polygon,1840003345
Fremont,Fremont,NE,Nebraska,Dodge,31053,68025 68026,41.4333328,-96.4980807,26397,polygon,1840003346
Broken Bow,Broken Bow,NE,Nebraska,Custer,31041,68822,41.4019509,-99.6392794,3559,polygon,1840003347
Long Hill,Long Hill,CT,Connecticut,New London,09011,06340,41.3539874,-72.0522976,4205,polygon,1840003348
Mystic,Mystic,CT,Connecticut,New London,09011,06355,41.3542656,-71.966462,4205,polygon,1840003349
Niantic,Niantic,CT,Connecticut,New London,09011,06357,41.3253756,-72.1931338,3114,polygon,1840003350
Noank,Noank,CT,Connecticut,New London,09011,06355 06340,41.3278767,-71.9906292,1796,polygon,1840003351
Old Mystic,Old Mystic,CT,Connecticut,New London,09011,06355,41.3914877,-71.9617401,3554,polygon,1840003352
Pawcatuck,Pawcatuck,CT,Connecticut,New London,09011,06379,41.3773218,-71.8336802,5624,polygon,1840003353
Poquonock Bridge,Poquonock Bridge,CT,Connecticut,New London,09011,06340,41.3450986,-72.0247969,1727,polygon,1840003354
Newport,Newport,RI,Rhode Island,Newport,44005,02841 02840,41.4901024,-71.3128285,24672,polygon,1840003355
Melville,Melville,RI,Rhode Island,Newport,44005,02842 02871,41.5870465,-71.2833829,1320,polygon,1840003356
Tiverton,Tiverton,RI,Rhode Island,Newport,44005,02878,41.6259357,-71.2133801,7557,polygon,1840003357
Ridgefield,Ridgefield,CT,Connecticut,Fairfield,09001,06877 06879,41.2814842,-73.4981792,7645,polygon,1840003358
Stratford,Stratford,CT,Connecticut,Fairfield,09001,06614 06615,41.1845415,-73.1331651,51384,polygon,1840003359
Trumbull,Trumbull,CT,Connecticut,Fairfield,09001,06611,41.2428742,-73.2006687,36018,polygon,1840003360
Westport,Westport,CT,Connecticut,Fairfield,09001,06880 06838 06881 06888 06889,41.1414855,-73.3578955,26391,polygon,1840003361
Ashaway,Ashaway,RI,Rhode Island,Washington,44009,02804,41.4234329,-71.7856238,1485,polygon,1840003362
Bradford,Bradford,RI,Rhode Island,Washington,44009,02808,41.3989889,-71.7370107,1406,polygon,1840003363
Hope Valley,Hope Valley,RI,Rhode Island,Washington,44009,02832,41.5075996,-71.7161784,1612,polygon,1840003364
Kingston,Kingston,RI,Rhode Island,Washington,44009,02879 02881,41.4803791,-71.5225598,6974,polygon,1840003365
Narragansett,Narragansett,RI,Rhode Island,Washington,44009,02882,41.4323244,-71.4564448,3409,polygon,1840003366
Peace Dale,Peace Dale,RI,Rhode Island,Washington,44009,02879 02880 02883,41.4460742,-71.500408,8487,polygon,1840003367
Westerly,Westerly,RI,Rhode Island,Washington,44009,02891,41.3775996,-71.8272911,17936,polygon,1840003368
Moodus,Moodus,CT,Connecticut,Middlesex,09007,06469,41.5028768,-72.4500867,1413,polygon,1840003369
Portland,Portland,CT,Connecticut,Middlesex,09007,06480,41.5728766,-72.6406483,5862,polygon,1840003370
Saybrook Manor,Saybrook Manor,CT,Connecticut,Middlesex,09007,06475,41.2853765,-72.3989743,1052,polygon,1840003371
North Haven,North Haven,CT,Connecticut,New Haven,09009,06473,41.3909305,-72.859545,24093,polygon,1840003372
Orange,Orange,CT,Connecticut,New Haven,09009,06477,41.2784304,-73.0256609,13956,polygon,1840003373
Archbald,Archbald,PA,Pennsylvania,Lackawanna,42069,18403,41.4948038,-75.5368521,6984,polygon,1840003374
Blakely,Blakely,PA,Pennsylvania,Lackawanna,42069,18447 18452,41.4809138,-75.5946319,6564,polygon,1840003375
Carbondale,Carbondale,PA,Pennsylvania,Lackawanna,42069,18407,41.5736935,-75.5018508,8891,polygon,1840003376
Clarks Green,Clarks Green,PA,Pennsylvania,Lackawanna,42069,18411,41.492856,-75.6996356,1476,polygon,1840003377
Clarks Summit,Clarks Summit,PA,Pennsylvania,Lackawanna,42069,18411,41.4886892,-75.7085248,5116,polygon,1840003378
Dalton,Dalton,PA,Pennsylvania,Lackawanna,42069,18414,41.5342441,-75.7360253,1234,polygon,1840003379
Dickson City,Dickson City,PA,Pennsylvania,Lackawanna,42069,18508 18519,41.4714693,-75.607688,6070,polygon,1840003380
Dunmore,Dunmore,PA,Pennsylvania,Lackawanna,42069,18509 18512 18510 18505,41.4198027,-75.6324112,14057,polygon,1840003381
Jermyn,Jermyn,PA,Pennsylvania,Lackawanna,42069,18433,41.5309147,-75.5454634,2169,polygon,1840003382
Jessup,Jessup,PA,Pennsylvania,Lackawanna,42069,18434,41.4686924,-75.5621309,4676,polygon,1840003383
Mayfield,Mayfield,PA,Pennsylvania,Lackawanna,42069,18433,41.5381373,-75.5360186,1807,polygon,1840003384
Moosic,Moosic,PA,Pennsylvania,Lackawanna,42069,18641 18507,41.353413,-75.7382478,5719,polygon,1840003385
Moscow,Moscow,PA,Pennsylvania,Lackawanna,42069,18444,41.3367497,-75.5185191,2026,polygon,1840003386
Old Forge,Old Forge,PA,Pennsylvania,Lackawanna,42069,18518,41.3711906,-75.7349144,8313,polygon,1840003387
Olyphant,Olyphant,PA,Pennsylvania,Lackawanna,42069,18447 18512 18448,41.4684138,-75.6029656,5151,polygon,1840003388
Scranton,Scranton,PA,Pennsylvania,Lackawanna,42069,18509 18508 18510 18505 18507 18503 18504 18501 18502 18515 18540 18577,41.408969,-75.6624122,76089,polygon,1840003389
Taylor,Taylor,PA,Pennsylvania,Lackawanna,42069,18517 18518,41.3948017,-75.7065802,6263,polygon,1840003390
Throop,Throop,PA,Pennsylvania,Lackawanna,42069,18512,41.4514694,-75.6118548,4088,polygon,1840003391
Vandling,Vandling,PA,Pennsylvania,Lackawanna,42069,18421,41.6331388,-75.4704609,751,polygon,1840003392
Highland Hills,Highland Hills,OH,Ohio,Cuyahoga,39035,44128 44122,41.4483869,-81.51901,1130,polygon,1840003393
Bay Village,Bay Village,OH,Ohio,Cuyahoga,39035,44140,41.4847663,-81.9220845,15651,polygon,1840003394
Beachwood,Beachwood,OH,Ohio,Cuyahoga,39035,44122,41.4644979,-81.5087322,11953,polygon,1840003395
Bedford,Bedford,OH,Ohio,Cuyahoga,39035,44146,41.3931096,-81.5365094,13074,polygon,1840003396
Bedford Heights,Bedford Heights,OH,Ohio,Cuyahoga,39035,44146,41.4169982,-81.5273428,10751,polygon,1840003397
Bentleyville,Bentleyville,OH,Ohio,Cuyahoga,39035,44022,41.4131094,-81.4109468,864,polygon,1840003398
Newburgh Heights,Newburgh Heights,OH,Ohio,Cuyahoga,39035,44105,41.450052,-81.6634618,2167,polygon,1840003399
North Olmsted,North Olmsted,OH,Ohio,Cuyahoga,39035,44070,41.4156025,-81.9234726,32718,polygon,1840003400
North Randall,North Randall,OH,Ohio,Cuyahoga,39035,44128,41.4347758,-81.5256766,1027,polygon,1840003401
North Royalton,North Royalton,OH,Ohio,Cuyahoga,39035,44133,41.3136644,-81.7245739,30444,polygon,1840003402
Oakwood,Oakwood,OH,Ohio,Cuyahoga,39035,44146,41.3653325,-81.5078959,3667,polygon,1840003403
Olmsted Falls,Olmsted Falls,OH,Ohio,Cuyahoga,39035,44138,41.375049,-81.9081937,9024,polygon,1840003404
Orange,Orange,OH,Ohio,Cuyahoga,39035,44122 44022,41.4497758,-81.4806744,3323,polygon,1840003405
Parma,Parma,OH,Ohio,Cuyahoga,39035,44134 44130 44129,41.4047742,-81.7229086,81601,polygon,1840003406
Parma Heights,Parma Heights,OH,Ohio,Cuyahoga,39035,44130,41.3900518,-81.7595769,20718,polygon,1840003407
Pepper Pike,Pepper Pike,OH,Ohio,Cuyahoga,39035,44124,41.4783865,-81.4637296,5979,polygon,1840003408
Richmond Heights,Richmond Heights,OH,Ohio,Cuyahoga,39035,44143,41.5528288,-81.5101208,10546,polygon,1840003409
Rocky River,Rocky River,OH,Ohio,Cuyahoga,39035,44116,41.4756031,-81.8393034,20213,polygon,1840003410
Seven Hills,Seven Hills,OH,Ohio,Cuyahoga,39035,44131,41.3953304,-81.6762392,11804,polygon,1840003411
Shaker Heights,Shaker Heights,OH,Ohio,Cuyahoga,39035,44122 44120,41.4739419,-81.5370671,28448,polygon,1840003412
Solon,Solon,OH,Ohio,Cuyahoga,39035,44139,41.3897764,-81.4412259,23348,polygon,1840003413
South Euclid,South Euclid,OH,Ohio,Cuyahoga,39035,44143 44121,41.5231076,-81.5184553,22295,polygon,1840003414
Strongsville,Strongsville,OH,Ohio,Cuyahoga,39035,44136 44149,41.3144966,-81.83569,44750,polygon,1840003415
University Heights,University Heights,OH,Ohio,Cuyahoga,39035,44118,41.4978306,-81.5373456,13539,polygon,1840003416
Valley View,Valley View,OH,Ohio,Cuyahoga,39035,44125,41.3878312,-81.6045685,2034,polygon,1840003417
Walton Hills,Walton Hills,OH,Ohio,Cuyahoga,39035,44146,41.3656097,-81.5612322,2281,polygon,1840003418
Warrensville Heights,Warrensville Heights,OH,Ohio,Cuyahoga,39035,44128 44122,41.4350535,-81.5362327,13542,polygon,1840003419
Westlake,Westlake,OH,Ohio,Cuyahoga,39035,44145,41.4553232,-81.9179174,32729,polygon,1840003420
Woodmere,Woodmere,OH,Ohio,Cuyahoga,39035,44122,41.4622757,-81.4806747,884,polygon,1840003421
Barkeyville,Barkeyville,PA,Pennsylvania,Venango,42121,16127 16038,41.1920042,-79.9756122,207,polygon,1840003422
Clintonville,Clintonville,PA,Pennsylvania,Venango,42121,16372,41.199227,-79.8728317,508,polygon,1840003423
Cooperstown,Cooperstown,PA,Pennsylvania,Venango,42121,16317,41.498667,-79.8703345,460,polygon,1840003424
Franklin,Franklin,PA,Pennsylvania,Venango,42121,16323,41.3978358,-79.8314437,6545,polygon,1840003425
Oil City,Oil City,PA,Pennsylvania,Venango,42121,16301,41.4339484,-79.7064413,10557,polygon,1840003426
Pleasantville,Pleasantville,PA,Pennsylvania,Venango,42121,16341,41.5922825,-79.5794944,892,polygon,1840003427
Polk,Polk,PA,Pennsylvania,Venango,42121,16342,41.3670014,-79.9292233,816,polygon,1840003428
Rouseville,Rouseville,PA,Pennsylvania,Venango,42121,16344,41.4689485,-79.6908857,523,polygon,1840003429
Sugarcreek,Sugarcreek,PA,Pennsylvania,Venango,42121,16301 16323 16343,41.4214458,-79.8811672,5294,polygon,1840003430
Utica,Utica,PA,Pennsylvania,Venango,42121,16362,41.4356109,-79.9572801,189,polygon,1840003431
Kelleys Island,Kelleys Island,OH,Ohio,Erie,39043,43438,41.5969932,-82.7101824,312,polygon,1840003432
Sandusky,Sandusky,OH,Ohio,Erie,39043,44870 44871,41.4489397,-82.7079605,25793,polygon,1840003433
Milford,Milford,PA,Pennsylvania,Pike,42103,18337,41.322316,-74.8023882,1021,polygon,1840003434
Dushore,Dushore,PA,Pennsylvania,Sullivan,42113,18614,41.524242,-76.4007744,608,polygon,1840003435
Eagles Mere,Eagles Mere,PA,Pennsylvania,Sullivan,42113,17731,41.4109113,-76.5818943,120,polygon,1840003436
Forksville,Forksville,PA,Pennsylvania,Sullivan,42113,18616,41.4870203,-76.6021722,145,polygon,1840003437
Laporte,Laporte,PA,Pennsylvania,Sullivan,42113,18626,41.4239666,-76.494113,316,polygon,1840003438
Rubio,Rubio,IA,Iowa,Washington,19183,52585,41.2211259,-91.937674,,point,1840003439
Sandy Lake,Sandy Lake,PA,Pennsylvania,Mercer,42085,16145,41.3486674,-80.0822822,659,polygon,1840003440
Sharon,Sharon,PA,Pennsylvania,Mercer,42085,16146,41.2331116,-80.4934035,14038,polygon,1840003441
Sharpsville,Sharpsville,PA,Pennsylvania,Mercer,42085,16150,41.2592225,-80.4720141,4415,polygon,1840003442
Sheakleyville,Sheakleyville,PA,Pennsylvania,Mercer,42085,16130 16151,41.4428322,-80.2078404,142,polygon,1840003443
Stoneboro,Stoneboro,PA,Pennsylvania,Mercer,42085,16153,41.3392232,-80.1050604,1051,polygon,1840003444
West Middlesex,West Middlesex,PA,Pennsylvania,Mercer,42085,16159,41.174224,-80.453402,863,polygon,1840003445
Wheatland,Wheatland,PA,Pennsylvania,Mercer,42085,16161,41.2008898,-80.4978479,632,polygon,1840003446
Avis,Avis,PA,Pennsylvania,Clinton,42035,17721,41.1847939,-77.3138622,1484,polygon,1840003447
Beech Creek,Beech Creek,PA,Pennsylvania,Clinton,42035,16822,41.0758987,-77.5886026,701,polygon,1840003448
Flemington,Flemington,PA,Pennsylvania,Clinton,42035,17745,41.1264572,-77.4716505,1330,polygon,1840003449
Lock Haven,Lock Haven,PA,Pennsylvania,Clinton,42035,17745,41.1370133,-77.4469263,9772,polygon,1840003450
Loganton,Loganton,PA,Pennsylvania,Clinton,42035,17747,41.0342375,-77.3066405,468,polygon,1840003451
Mill Hall,Mill Hall,PA,Pennsylvania,Clinton,42035,17751,41.10729,-77.48443,1613,polygon,1840003452
Renovo,Renovo,PA,Pennsylvania,Clinton,42035,17764,41.3264557,-77.7508202,1228,polygon,1840003453
David City,David City,NE,Nebraska,Butler,31023,68632,41.2527908,-97.1300372,2906,polygon,1840003454
Wahoo,Wahoo,NE,Nebraska,Saunders,31155,68066,41.2113915,-96.6203025,4508,polygon,1840003455
Foxburg,Foxburg,PA,Pennsylvania,Clarion,42031,16036,41.1431175,-79.6797713,183,polygon,1840003456
Hawthorn,Hawthorn,PA,Pennsylvania,Clarion,42031,16230,41.0200656,-79.274484,494,polygon,1840003457
Knox,Knox,PA,Pennsylvania,Clarion,42031,16232,41.2345058,-79.5372696,1146,polygon,1840003458
New Bethlehem,New Bethlehem,PA,Pennsylvania,Clarion,42031,16242,41.001732,-79.3314297,989,polygon,1840003459
Rimersburg,Rimersburg,PA,Pennsylvania,Clarion,42031,16248,41.0414525,-79.5031005,951,polygon,1840003460
Saint Petersburg,Saint Petersburg,PA,Pennsylvania,Clarion,42031,16054,41.1617284,-79.6528265,400,polygon,1840003461
Shippenville,Shippenville,PA,Pennsylvania,Clarion,42031,16254,41.2503396,-79.4594904,480,polygon,1840003462
Sligo,Sligo,PA,Pennsylvania,Clarion,42031,16255,41.1092297,-79.4900454,720,polygon,1840003463
Strattanville,Strattanville,PA,Pennsylvania,Clarion,42031,16258,41.2022858,-79.3275426,550,polygon,1840003464
Bear Creek Village,Bear Creek Village,PA,Pennsylvania,Luzerne,42079,18602,41.1786936,-75.7563036,257,polygon,1840003465
Central City,Central City,NE,Nebraska,Merrick,31121,68826,41.1158476,-98.0017248,2934,polygon,1840003466
Big Run,Big Run,PA,Pennsylvania,Jefferson,42065,15715,40.9670078,-78.8783657,624,polygon,1840003467
Brockway,Brockway,PA,Pennsylvania,Jefferson,42065,15824,41.2492279,-78.7994738,2072,polygon,1840003468
Brookville,Brookville,PA,Pennsylvania,Jefferson,42065,15825,41.1611747,-79.0830924,3924,polygon,1840003469
Corsica,Corsica,PA,Pennsylvania,Jefferson,42065,15829,41.1811753,-79.2022618,357,polygon,1840003470
Punxsutawney,Punxsutawney,PA,Pennsylvania,Jefferson,42065,15767,40.9436753,-78.9708668,5962,polygon,1840003471
Reynoldsville,Reynoldsville,PA,Pennsylvania,Jefferson,42065,15851,41.0970071,-78.8886436,2759,polygon,1840003472
Summerville,Summerville,PA,Pennsylvania,Jefferson,42065,15864,41.1161758,-79.1867053,528,polygon,1840003473
Sykesville,Sykesville,PA,Pennsylvania,Jefferson,42065,15865,41.0503401,-78.8222537,1157,polygon,1840003474
Timblin,Timblin,PA,Pennsylvania,Jefferson,42065,15778 16240,40.9664544,-79.1980934,157,polygon,1840003475
Worthville,Worthville,PA,Pennsylvania,Jefferson,42065,15784,41.0245095,-79.1380925,67,polygon,1840003476
White Plains,White Plains,NY,New York,Westchester,36119,10601 10606 10604 10605 10603 10602 10610,41.0339862,-73.7629097,56853,polygon,1840003477
Yonkers,Yonkers,NY,New York,Westchester,36119,10708 10703 10701 10705 10704 10707 10710 10702,40.9312099,-73.8987469,195976,polygon,1840003478
Andover,Andover,NJ,New Jersey,Sussex,34037,07821,40.9859311,-74.7421089,606,polygon,1840003479
Franklin,Franklin,NJ,New Jersey,Sussex,34037,07416,41.1220409,-74.5804378,5045,polygon,1840003480
Hamburg,Hamburg,NJ,New Jersey,Sussex,34037,07419,41.1534294,-74.5762713,3277,polygon,1840003481
Hopatcong,Hopatcong,NJ,New Jersey,Sussex,34037,07821 07843 07837,40.9328763,-74.6593281,15147,polygon,1840003482
Benton,Benton,PA,Pennsylvania,Columbia,42037,17814,41.1950837,-76.3835528,824,polygon,1840003483
Berwick,Berwick,PA,Pennsylvania,Columbia,42037,18603,41.0545292,-76.2332676,10477,polygon,1840003484
Brunswick,Brunswick,OH,Ohio,Medina,39103,44212,41.2381096,-81.8418007,34255,polygon,1840003485
Medina,Medina,OH,Ohio,Medina,39103,44256 44258,41.1383878,-81.8637474,26678,polygon,1840003486
Brisbin,Brisbin,PA,Pennsylvania,Clearfield,42033,16620,40.8381145,-78.3544623,411,polygon,1840003487
Burnside,Burnside,PA,Pennsylvania,Clearfield,42033,15721,40.8128423,-78.7855858,234,polygon,1840003488
Chester Hill,Chester Hill,PA,Pennsylvania,Clearfield,42033,16866,40.8897798,-78.2283469,883,polygon,1840003489
Clearfield,Clearfield,PA,Pennsylvania,Clearfield,42033,16830,41.0272796,-78.4391876,6215,polygon,1840003490
Coalport,Coalport,PA,Pennsylvania,Clearfield,42033,16627,40.7478401,-78.5344673,523,polygon,1840003491
Curwensville,Curwensville,PA,Pennsylvania,Clearfield,42033,16833,40.9756137,-78.5250243,2542,polygon,1840003492
DuBois,DuBois,PA,Pennsylvania,Clearfield,42033,15801,41.1166219735,-78.7640762728,7794,polygon,1840003493
Glen Hope,Glen Hope,PA,Pennsylvania,Clearfield,42033,16661 16645,40.7983942,-78.5000222,142,polygon,1840003494
Grampian,Grampian,PA,Pennsylvania,Clearfield,42033,16838,40.9658932,-78.6130822,356,polygon,1840003495
Houtzdale,Houtzdale,PA,Pennsylvania,Clearfield,42033,16651 16698,40.825059,-78.3511289,797,polygon,1840003496
Irvona,Irvona,PA,Pennsylvania,Clearfield,42033,16656,40.7745065,-78.553357,647,polygon,1840003497
Lumber City,Lumber City,PA,Pennsylvania,Clearfield,42033,16833,40.9242266,-78.5750253,76,polygon,1840003498
Mahaffey,Mahaffey,PA,Pennsylvania,Clearfield,42033,15757,40.8728411,-78.724196,368,polygon,1840003499
Newburg,Newburg,PA,Pennsylvania,Clearfield,42033,15753 15757,40.8353409,-78.6769722,92,polygon,1840003500
New Washington,New Washington,PA,Pennsylvania,Clearfield,42033,15757,40.823397,-78.7053063,59,polygon,1840003501
Osceola Mills,Osceola Mills,PA,Pennsylvania,Clearfield,42033,16666,40.8500581,-78.2705707,1141,polygon,1840003502
Ramey,Ramey,PA,Pennsylvania,Clearfield,42033,16671,40.7981154,-78.3972413,451,polygon,1840003503
Troutville,Troutville,PA,Pennsylvania,Clearfield,42033,15866,41.0256177,-78.7853089,243,polygon,1840003504
Wallaceton,Wallaceton,PA,Pennsylvania,Clearfield,42033,16876,40.9597793,-78.2889045,313,polygon,1840003505
Westover,Westover,PA,Pennsylvania,Clearfield,42033,16692,40.7503421,-78.6708604,390,polygon,1840003506
East Stroudsburg,East Stroudsburg,PA,Pennsylvania,Monroe,42089,18301,40.9995386,-75.1812913,9840,polygon,1840003507
Mount Pocono,Mount Pocono,PA,Pennsylvania,Monroe,42089,18344,41.1220337,-75.3646282,3170,polygon,1840003508
Stroudsburg,Stroudsburg,PA,Pennsylvania,Monroe,42089,18360,40.9867609,-75.1946248,5567,polygon,1840003509
Delaware Water Gap,Delaware Water Gap,PA,Pennsylvania,Monroe,42089,18327,40.9792619,-75.1429563,746,polygon,1840003510
Clifton,Clifton,NJ,New Jersey,Passaic,34031,07014 07013 07012 07011 07015,40.8584328,-74.1637553,84136,polygon,1840003511
Haledon,Haledon,NJ,New Jersey,Passaic,34031,07508 07538,40.935654,-74.186256,8318,polygon,1840003512
Hawthorne,Hawthorne,NJ,New Jersey,Passaic,34031,07506 07507,40.9492649,-74.1537549,18791,polygon,1840003513
Seven Fields,Seven Fields,PA,Pennsylvania,Butler,42019,16046,40.6917331,-80.0625592,2887,polygon,1840003514
Elderton,Elderton,PA,Pennsylvania,Armstrong,42005,15736,40.6950649,-79.3414291,356,polygon,1840003515
Ford City,Ford City,PA,Pennsylvania,Armstrong,42005,16226,40.7722865,-79.5297673,2991,polygon,1840003516
Ford Cliff,Ford Cliff,PA,Pennsylvania,Armstrong,42005,16228,40.7603421,-79.5336563,371,polygon,1840003517
Freeport,Freeport,PA,Pennsylvania,Armstrong,42005,16229,40.6739543,-79.6847703,1813,polygon,1840003518
Kittanning,Kittanning,PA,Pennsylvania,Armstrong,42005,16201,40.8164531,-79.5219893,4044,polygon,1840003519
Leechburg,Leechburg,PA,Pennsylvania,Armstrong,42005,15656,40.62701,-79.6056012,2156,polygon,1840003520
Manorville,Manorville,PA,Pennsylvania,Armstrong,42005,16238,40.7872864,-79.5197671,410,polygon,1840003521
North Apollo,North Apollo,PA,Pennsylvania,Armstrong,42005,15673,40.5961767,-79.5555998,1297,polygon,1840003522
Parker,Parker,PA,Pennsylvania,Armstrong,42005,16049,41.0958957,-79.6825489,840,polygon,1840003523
Salina,Salina,IA,Iowa,Jefferson,19101,52556,41.0458543,-91.8332253,,point,1840003524
Highland Center,Highland Center,IA,Iowa,Wapello,19179,52501,41.1264025,-92.3532399,,point,1840003525
Norwood,Norwood,IA,Iowa,Lucas,19117,50151,41.1166642,-93.4788243,,point,1840003526
Morton Mills,Morton Mills,IA,Iowa,Montgomery,19137,50864,41.0797117,-94.9847073,,point,1840003527
Mount Etna,Mount Etna,IA,Iowa,Adams,19003,50841,41.1205421,-94.7352526,,point,1840003528
Nevinville,Nevinville,IA,Iowa,Adams,19003,50801,41.1472101,-94.5007984,,point,1840003529
Hartleton,Hartleton,PA,Pennsylvania,Union,42119,17829 17845,40.9006335,-77.1560861,283,polygon,1840003530
Lewisburg,Lewisburg,PA,Pennsylvania,Union,42119,17837,40.9645293,-76.8844101,5792,polygon,1840003531
Mifflinburg,Mifflinburg,PA,Pennsylvania,Union,42119,17844,40.917582,-77.0477501,3540,polygon,1840003532
New Berlin,New Berlin,PA,Pennsylvania,Union,42119,17855,40.8789732,-76.9869178,873,polygon,1840003533
Little Ferry,Little Ferry,NJ,New Jersey,Bergen,34003,07643,40.8528777,-74.0420848,10626,polygon,1840003534
Lodi,Lodi,NJ,New Jersey,Bergen,34003,07644,40.8823215,-74.0831971,24136,polygon,1840003535
Maywood,Maywood,NJ,New Jersey,Bergen,34003,07607,40.902599,-74.0618074,9555,polygon,1840003536
Cliffside Park,Cliffside Park,NJ,New Jersey,Bergen,34003,07010,40.8214894,-73.9876388,23594,polygon,1840003537
Closter,Closter,NJ,New Jersey,Bergen,34003,07624,40.9731536,-73.9615262,8373,polygon,1840003538
Cresskill,Cresskill,NJ,New Jersey,Bergen,34003,07626,40.9414874,-73.9593041,8573,polygon,1840003539
Demarest,Demarest,NJ,New Jersey,Bergen,34003,07627,40.9573205,-73.9634708,4881,polygon,1840003540
Dumont,Dumont,NJ,New Jersey,Bergen,34003,07628,40.9406541,-73.9968051,17479,polygon,1840003541
East Rutherford,East Rutherford,NJ,New Jersey,Bergen,34003,07073,40.833989,-74.0970865,8913,polygon,1840003542
Edgewater,Edgewater,NJ,New Jersey,Bergen,34003,07020,40.8270448,-73.975694,11513,polygon,1840003543
Elmwood Park,Elmwood Park,NJ,New Jersey,Bergen,34003,07407,40.9039878,-74.118476,19403,polygon,1840003544
Emerson,Emerson,NJ,New Jersey,Bergen,34003,07630,40.976209,-74.0262505,7401,polygon,1840003545
Englewood,Englewood,NJ,New Jersey,Bergen,34003,07631,40.8928771,-73.9726381,27147,polygon,1840003546
Englewood Cliffs,Englewood Cliffs,NJ,New Jersey,Bergen,34003,07632,40.8853773,-73.9523597,5281,polygon,1840003547
Fair Lawn,Fair Lawn,NJ,New Jersey,Bergen,34003,07410,40.9403762,-74.1318096,32457,polygon,1840003548
Fairview,Fairview,NJ,New Jersey,Bergen,34003,07022,40.8126006,-73.999028,13835,polygon,1840003549
Allendale,Allendale,NJ,New Jersey,Bergen,34003,07401,41.0414858,-74.129032,6505,polygon,1840003550
Alpine,Alpine,NJ,New Jersey,Bergen,34003,07620,40.9559316,-73.9312478,1849,polygon,1840027928
Fort Lee,Fort Lee,NJ,New Jersey,Bergen,34003,07024,40.8509333,-73.9701382,35345,polygon,1840003552
Franklin Lakes,Franklin Lakes,NJ,New Jersey,Bergen,34003,07417,41.0167639,-74.2057012,10590,polygon,1840003553
Garfield,Garfield,NJ,New Jersey,Bergen,34003,07026,40.8814882,-74.113198,30487,polygon,1840003554
Glen Rock,Glen Rock,NJ,New Jersey,Bergen,34003,07452,40.9628758,-74.1329208,11601,polygon,1840003555
Hackensack,Hackensack,NJ,New Jersey,Bergen,34003,07601 07602,40.8859326,-74.0434736,43010,polygon,1840003556
Harrington Park,Harrington Park,NJ,New Jersey,Bergen,34003,07640,40.9837089,-73.9798601,4664,polygon,1840003557
Hasbrouck Heights,Hasbrouck Heights,NJ,New Jersey,Bergen,34003,07604,40.8581553,-74.0806971,11842,polygon,1840003558
Haworth,Haworth,NJ,New Jersey,Bergen,34003,07641,40.9609315,-73.9901383,3382,polygon,1840003559
Hillsdale,Hillsdale,NJ,New Jersey,Bergen,34003,07642,41.0025975,-74.0404175,10219,polygon,1840003560
Ho-Ho-Kus,Ho-Ho-Kus,NJ,New Jersey,Bergen,34003,07423,40.9964864,-74.101253,4078,polygon,1840003561
Struthers,Struthers,OH,Ohio,Mahoning,39099,44471,41.0525588,-80.6078509,10713,polygon,1840003562
Youngstown,Youngstown,OH,Ohio,Mahoning,39099,44502 44503 44504 44505 44506 44507 44509 44511 44510 44501 44513 44555,41.0997803,-80.6495194,66982,polygon,1840003563
